Country,News Publisher,Country Stance,Headline,Date,Headline Stance,Explanation,,,,
South Africa,eNCA,Pro Palestine,Biden announces emergency port for Gaza aid,Thursday 07 March 2024 - 21:00pm,Neutral, Announces humanitarian aid without taking sides.,,,,
South Africa,eNCA,Pro Palestine,Israel strikes Gaza's Rafah as truce talks under way,Thursday 22 February 2024 - 13:00pm,Pro-Israel," Highlights Israeli military action during peace talks, suggesting justification for the strikes.",,,,
South Africa,eNCA,Pro Palestine,"Gaza hospitals out of fuel, caught in Israel-Hamas fighting",Monday 13 November 2023 - 05:51am,Pro-Palestine, Focuses on the dire situation of medical facilities in Gaza due to conflict.,,,,
South Africa,eNCA,Pro Palestine,Gazans bury their dead in orchards and football fields,Thursday 09 November 2023 - 15:55pm,Pro-Palestine, Depicts the tragic circumstances Gazans face in burying their dead.,,,,
South Africa,eNCA,Pro Palestine,'Exhausted' Gazans desperate for war to end as Israel presses offensive,Saturday 30 December 2023 - 05:50am,Pro-Palestine, Emphasizes the desperation of Gazans for an end to conflict.,,,,
South Africa,eNCA,Pro Palestine,North Gaza hospitals 'out of service' as fighting rages,Monday 13 November 2023 - 14:20pm,Pro-Palestine, Highlights the breakdown of medical services in Gaza due to conflict.,,,,
South Africa,eNCA,Pro Palestine,Israel-Hamas war rages in besieged Gaza as Ramadan begins,Monday 11 March 2024 - 08:30am,Pro-Palestine, Describes the ongoing conflict affecting daily life during Ramadan.,,,,
South Africa,eNCA,Pro Palestine,Israeli minister lays out post-war Gaza plan as fighting rages,Friday 05 January 2024 - 12:50pm,Neutral, Discusses strategic planning by an Israeli minister without specific bias.,,,,
South Africa,eNCA,Pro Palestine,"Famine imminent in north Gaza, 'unprecedented' crisis: UN",Monday 18 March 2024 - 13:08pm,Pro-Palestine, Highlights a severe humanitarian crisis in Gaza.,,,,
South Africa,eNCA,Pro Palestine,"'Tears, hugs' as two Gaza hostages rescued",Monday 12 February 2024 - 14:30pm,Pro-Palestine, Focuses on a moment of human relief amid conflict.,,,,
South Africa,eNCA,Pro Palestine,Babies evacuated from Gaza hospital UN agency dubs 'death zone',Sunday 19 November 2023 - 14:25pm,Pro-Palestine, Emphasizes dangerous conditions for infants in Gaza.,,,,
