President Higgins calls for verification of facts in Israel-Hamas conflict,2023-11-02
Bohemians to play match against Palestine,2024-03-05
Communications gradually returning for most of Gaza amid bombardment,2023-10-29
Famine possibly under way in northern Gaza despite recent aid efforts – report,2024-06-05
Blinken arrives in Israel for talks amid Rafah ground offensive fears,2024-03-22
Russia and China veto US resolution calling for immediate ceasefire in Gaza,2024-03-22
Israeli bombs target Rafah as Biden calls Israel’s approach ‘over the top’,2024-02-09
Varadkar participates in EU meeting following criticism of Von der Leyen remarks,2023-10-18
Gary Lineker says he received ‘threats’ after retweet about Israeli sports ban,2024-01-20
Palestinian media reports dozens killed in Israeli airstrikes,2023-12-16
Security Council backs resolution calling for urgent humanitarian pauses in Gaza,2023-11-15
UN envoy says ‘reasonable grounds’ to believe Hamas committed rapes on October 7th,2024-03-04
Blinken seeks progress on Gaza ceasefire-for-hostages deal in meetings in Egypt,2024-02-06
Thousands join pro-Palestinian march in central Dublin,2024-01-13
Rishi Sunak duels with Jeremy Corbyn over past description of Hamas as ‘friends’,2023-10-23
UK ‘aligned’ with US on Gaza after Harris calls for immediate ceasefire – No 10,2024-03-04
Iran launches three satellites into space as Middle East tensions rise,2024-01-28
Irish-Palestinian man says 44 members of extended family killed in Gaza,2023-11-16
Hundreds gather for London pro-Palestine march as Gaza braces for invasion,2023-10-14
Varadkar to become first Taoiseach to attend Munich Security Conference,2024-02-16
Elon Musk says Starlink to provide internet to Gaza through aid organisations,2023-10-28
Israel unveils tunnels underneath Gaza City headquarters of UN refugee agency,2024-02-10
Independent councillors slam vote against flying Palestinian flag over Dublin’s City Hall as 'farcical',2023-11-07
Chef Fadi Kattan on his ‘responsibility’ to share Palestinian cuisine with the world,2024-05-15
Israel strikes outskirts of Gaza City in second ground raid,2023-10-27
"EU has ‘lost credibility’ with Gaza stance, Varadkar warns",2023-12-14
Pro-Palestinian protests set for Eurovision final after Israel qualifies,2024-05-10
US military says Gaza Strip pier project complete with aid to flow soon,2024-05-16
Israeli strikes hit Rafah after warning from Biden,2024-02-12
Student protesters arrested in Texas as others in US defy demand to leave camp,2024-04-29
Israel plans to keep fighting as other countries call for ceasefire in Gaza,2023-12-12
Israeli ambassador to Ireland claims Israel not behind attack on Gaza hospital,2023-10-18
Dublin City Council asked to fly Palestinian flag in solidarity with people of Gaza,2023-11-06
Israel strikes sites across Gaza after small aid shipment allowed in,2023-10-23
Bodies of three more October 7th hostages recovered from Gaza – Israeli army,2024-05-24
BBC News Arabic launches emergency radio service for Gaza,2023-11-01
'Hamas thanks Ireland': Israeli minister releases video after recognition of Palestinian state,2024-05-23
"Three soldiers killed in Rafah, says Israeli military",2024-05-29
