Palestine brace for Rafah assault as Israel promises evacuation plan,"10 February 2024, 4:33 PM"
US Senate Democrats back two-state solution for Israel-Palestine,"25 January 2024, 10:05 AM"
"EC lawyers intend to take US to court for Israel, Palestine conflict","13 January 2024, 3:27 PM"
Israeli ambassador’s departure welcomed: Africa4Palestine,"21 November 2023, 12:40 PM"
‘Difficult to lump Russia-Ukraine and Palestine-Israel in same pot’,"29 October 2023, 3:33 PM"
EFF to stage protest at Israeli Embassy in solidarity with Palestine,"22 October 2023, 5:35 PM"
"Ramaphosa calls for cessation of hostilities in Israel, Palestine","21 October 2023, 2:14 PM"
ANC to picket in solidarity with Palestine outside Israeli Embassy,"20 October 2023, 9:00 AM"
Shame on you: ANC accused of taking sides in Israel-Palestine clash,"15 October 2023, 7:50 PM"
"At UN, Palestine call for halt to Israeli offensive","14 October 2023, 8:46 AM"
ANC NEC meeting to engage on Israeli-Palestine conflict,"13 October 2023, 9:12 PM"
"ANC calls for end to violence in Israel, Palestine","10 October 2023, 12:40 PM"
"SA calls for immediate ceasefire, peace in Israel-Palestine conflict","7 October 2023, 9:55 PM"
"Calls for warrying parties in Israel, Palestine conflict to respect international law","28 June 2023, 9:43 AM"
"Jewish Board says Minister Pandor failed to facilitate mediation between Israel, Palestine","26 July 2022, 6:21 PM"
Mogoeng apologises for comments regarding Israel-Palestine conflict,"3 February 2022, 6:33 PM"
Africa for Palestine hails SA government’s decision to withdraw support for Miss SA at the Miss Universe pageant in Israel,"15 November 2021, 12:30 PM"
UNSC called upon to use its leverage to find solution to Israel-Palestine conflict,"19 October 2021, 9:00 PM"
"SA Embassy engaged in efforts to assist South Africans in Palestine, Israel","19 May 2021, 4:01 PM"
Pro-Palestine demonstrators to march on Israeli Embassy in Pretoria on Wednesday,"19 May 2021, 7:21 AM"
"OPINION: For Mandela’s sake, progressive world must expel Israeli envoys over apartheid against Palestine","13 May 2021, 11:15 AM"
Africa4Palestine disappointed by Mogoeng’s ‘unwillingness’ to engage over Israel comments,"23 March 2021, 11:30 AM"
SA firmly believes that Palestine-Israel issue core to bringing peace to Middle East,"21 August 2019, 5:43 AM"
Israel tightens restrictions on Palestine fishing after firebomb threat,"29 May 2019, 11:34 AM"
Pro-Palestine and Pro- Israel protesters side by side outside Parliament,"3 May 2019, 3:44 PM"
"SA calls for consistency in Israel, Palestine conflict","20 February 2019, 9:30 PM"
"Palestine, Israel accuse Security Council of hypocrisy","31 May 2018, 7:02 PM"
"Palestine, Israel accuse Security Council of hypocrisy","31 May 2018, 9:14 AM"
Palestine asks ICC to investigate alleged Israeli human rights abuses,"22 May 2018, 9:01 PM"
UN Security Council convenes emergency session on Israeli-Palestine violence,"15 May 2018, 5:30 PM"
United Nations condemns Israeli-Palestine deadly violence,"14 May 2018, 9:54 PM"
Spain join South Africa’s genocide case against Israel,"6 June 2024, 7:19 PM"
Israel seizes Gaza’s entire border with Egypt,"30 May 2024, 6:28 AM"
Pandor urges UNSC to ensure Israel complies with ICJ ruling,"24 May 2024, 9:30 PM"
"BREAKING NEWS: ICJ orders Israel to halt its offensive in Rafah, Gaza","24 May 2024, 2:50 PM"
"Ramaphosa welcomes Spain, Norway, Ireland’s recognition of Palestine","22 May 2024, 5:38 PM"
Pope Francis comforts relatives of victims killed by Israeli forces,"18 May 2024, 1:53 PM"
Israel’s targeting of Gaza hospitals decried as inhumane,"16 May 2024, 8:30 PM"
"Israel’s evacuation order affects 300,000 civilians: UNRWA","13 May 2024, 12:10 PM"
Ramaphosa slams Israel for its reluctance to ceasefire,"10 May 2024, 7:17 AM"
Israel’s continued bombing of Gaza is concerning: Mashatile,"11 February 2024, 6:51 AM"
Spain to send extra $3.8 million in aid to assist Palestine,"5 February 2024, 4:42 PM"
Israel’s occupation one of root causes of the conflict: Navi Pillay,"2 February 2024, 4:29 PM"
Countries must stop funding Israel’s military actions: Pandor,"31 January 2024, 6:28 PM"
ANC ready for potential sanctions over Palestine stance,"28 January 2024, 2:12 PM"
ACDP to challenge Ramaphosa on Palestine comments,"27 January 2024, 10:47 AM"
Fight for Palestine will not end with ICJ ruling: Allan Boesak,"27 January 2024, 10:18 AM"
DA calls on Israel to abide by ICJ ruling,"27 January 2024, 7:19 AM"
ANC elated with ICJ ruling in Israel-SA genocide case,"26 January 2024, 7:52 PM"
SA filed grossly unfounded case against Israel: US lawmakers,"25 January 2024, 11:47 AM"
