,Country,News Publisher,Country Stance,Headline,Date,Headline Stance,parsed_dates
0,South Africa,eNCA,Pro Palestine,Biden announces emergency port for Gaza aid,Thursday 07 March 2024 - 21:00pm,Neutral,2024-03-07
1,South Africa,eNCA,Pro Palestine,Israel strikes Gaza's Rafah as truce talks under way,Thursday 22 February 2024 - 13:00pm,Pro-Israel,2024-02-22
2,South Africa,eNCA,Pro Palestine,"Gaza hospitals out of fuel, caught in Israel-Hamas fighting",Monday 13 November 2023 - 05:51am,Pro-Palestine,2023-11-13
3,South Africa,eNCA,Pro Palestine,Gazans bury their dead in orchards and football fields,Thursday 09 November 2023 - 15:55pm,Pro-Palestine,2023-11-09
4,South Africa,eNCA,Pro Palestine,'Exhausted' Gazans desperate for war to end as Israel presses offensive,Saturday 30 December 2023 - 05:50am,Pro-Palestine,2023-12-30
5,South Africa,eNCA,Pro Palestine,North Gaza hospitals 'out of service' as fighting rages,Monday 13 November 2023 - 14:20pm,Pro-Palestine,2023-11-13
6,South Africa,eNCA,Pro Palestine,Israel-Hamas war rages in besieged Gaza as Ramadan begins,Monday 11 March 2024 - 08:30am,Pro-Palestine,2024-03-11
7,South Africa,eNCA,Pro Palestine,Israeli minister lays out post-war Gaza plan as fighting rages,Friday 05 January 2024 - 12:50pm,Neutral,2024-01-05
8,South Africa,eNCA,Pro Palestine,"Famine imminent in north Gaza, 'unprecedented' crisis: UN",Monday 18 March 2024 - 13:08pm,Pro-Palestine,2024-03-18
9,South Africa,eNCA,Pro Palestine,"'Tears, hugs' as two Gaza hostages rescued",Monday 12 February 2024 - 14:30pm,Pro-Palestine,2024-02-12
10,South Africa,eNCA,Pro Palestine,Babies evacuated from Gaza hospital UN agency dubs 'death zone',Sunday 19 November 2023 - 14:25pm,Pro-Palestine,2023-11-19
11,South Africa,eNCA,Pro Palestine,"As Israel bombs Gaza, huge blasts kill dozens in refugee camp",Tuesday 31 October 2023 - 18:56pm,Pro-Palestine,2023-10-31
12,South Africa,eNCA,Pro Palestine,"99 journalists killed in 2023, 77 in Gaza war: report",Friday 16 February 2024 - 07:30am,Pro-Palestine,2024-02-16
13,South Africa,eNCA,Pro Palestine,Gazans amid the rubble of homes flattened by fighting,Tuesday 16 May 2023 - 14:03pm,Pro-Palestine,2023-05-16
14,South Africa,eNCA,Pro Palestine,Grim cycle of death at a hospital in Gaza,Saturday 02 December 2023 - 16:52pm,Pro-Palestine,2023-12-02
15,South Africa,eNCA,Pro Palestine,"Facing pressure, Security Council to vote on new Gaza ceasefire call",Monday 18 December 2023 - 04:27am,Neutral,2023-12-18
16,South Africa,eNCA,Pro Palestine,"Families forced to wait as Israel, Hamas truce deal delayed",Thursday 23 November 2023 - 16:34pm,Neutral,2023-11-23
17,South Africa,eNCA,Pro Palestine,One million Gazans flee as Israel readies for ground attack,Monday 16 October 2023 - 05:00am,Pro-Palestine,2023-10-16
18,South Africa,eNCA,Pro Palestine,Israel says 20 militants killed at key Gaza hospital,Monday 18 March 2024 - 17:39pm,Pro-Israel,2024-03-18
19,South Africa,eNCA,Pro Palestine,Middle East conflict | ICC investigating possible war crimes in Gaza,Monday 20 November 2023 - 07:35am,Neutral,2023-11-20
20,South Africa,eNCA,Pro Palestine,Sky above Gaza turns red in deadly night of strikes,Monday 06 November 2023 - 15:40pm,Pro-Palestine,2023-11-06
21,South Africa,eNCA,Pro Palestine,Israel deploys new military AI in Gaza war,Saturday 10 February 2024 - 12:00pm,Pro-Israel,2024-02-10
