,Country,News Publisher,Country Stance,Headline,parsed_dates,Headline Stance
0,South Africa,eNCA,Pro Palestine,Biden announces emergency port for Gaza aid,2024-03-07,Neutral
1,South Africa,eNCA,Pro Palestine,Israel strikes Gaza's Rafah as truce talks under way,2024-02-22,Neutral
2,South Africa,eNCA,Pro Palestine,"Gaza hospitals out of fuel, caught in Israel-Hamas fighting",2023-11-13,Pro-Palestine
3,South Africa,eNCA,Pro Palestine,Gazans bury their dead in orchards and football fields,2023-11-09,Pro-Palestine
4,South Africa,eNCA,Pro Palestine,'Exhausted' Gazans desperate for war to end as Israel presses offensive,2023-12-30,Pro-Palestine
5,South Africa,eNCA,Pro Palestine,North Gaza hospitals 'out of service' as fighting rages,2023-11-13,Pro-Palestine
6,South Africa,eNCA,Pro Palestine,Israel-Hamas war rages in besieged Gaza as Ramadan begins,2024-03-11,Pro-Palestine
7,South Africa,eNCA,Pro Palestine,Israeli minister lays out post-war Gaza plan as fighting rages,2024-01-05,Neutral
8,South Africa,eNCA,Pro Palestine,"Famine imminent in north Gaza, 'unprecedented' crisis: UN",2024-03-18,Pro-Palestine
9,South Africa,eNCA,Pro Palestine,"'Tears, hugs' as two Gaza hostages rescued",2024-02-12,Pro-Palestine
10,South Africa,eNCA,Pro Palestine,Babies evacuated from Gaza hospital UN agency dubs 'death zone',2023-11-19,Pro-Palestine
11,South Africa,eNCA,Pro Palestine,"As Israel bombs Gaza, huge blasts kill dozens in refugee camp",2023-10-31,Pro-Palestine
12,South Africa,eNCA,Pro Palestine,"99 journalists killed in 2023, 77 in Gaza war: report",2024-02-16,Pro-Palestine
13,South Africa,eNCA,Pro Palestine,Gazans amid the rubble of homes flattened by fighting,2023-05-16,Pro-Palestine
14,South Africa,eNCA,Pro Palestine,Grim cycle of death at a hospital in Gaza,2023-12-02,Pro-Palestine
15,South Africa,eNCA,Pro Palestine,"Facing pressure, Security Council to vote on new Gaza ceasefire call",2023-12-18,Neutral
16,South Africa,eNCA,Pro Palestine,"Families forced to wait as Israel, Hamas truce deal delayed",2023-11-23,Neutral
17,South Africa,eNCA,Pro Palestine,One million Gazans flee as Israel readies for ground attack,2023-10-16,Pro-Israel
18,South Africa,eNCA,Pro Palestine,Israel says 20 militants killed at key Gaza hospital,2024-03-18,Pro-Israel
19,South Africa,eNCA,Pro Palestine,Middle East conflict | ICC investigating possible war crimes in Gaza,2023-11-20,Neutral
20,South Africa,eNCA,Pro Palestine,Sky above Gaza turns red in deadly night of strikes,2023-11-06,Pro-Palestine
21,South Africa,eNCA,Pro Palestine,Israel deploys new military AI in Gaza war,2024-02-10,Pro-Israel
