Header,Article,Date
Is a Gaza ceasefire deal in sight?Published4 days agoShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"At the Nova festival site in southern Israel, attacked by Hamas gunmen on 7 October, the families and friends of Israeli hostages began a long march to Jerusalem on Wednesday. The festival site, near Kibbutz Re'im, is where hundreds of Israelis were killed and hundreds more dragged away into Gaza. The marchers, carrying pictures of those still missing, are demanding that their government do more to bring the remaining 134 hostages home. Their hopes have been raised by talk of a ceasefire. ""One hundred and forty-five endless days and nights of yearning for our loved ones,"" Ronen Neutra said, addressing the crowd. Ronen's 22-year-old son, Omer, is somewhere in Gaza. ""We send them strength, and ask them to hold a little longer,"" Ronen said. ""Omer, just a little longer. A deal is possible."" Since US, Egyptian and Qatari mediators met in Paris last weekend, the Israeli press has been full of talk of a deal to pause the fighting. No document has been made public, outlining the latest proposals, but whenJoe Biden said an agreement might be in place by Monday, speculation only increased. But what might a deal look like? It is thought a ceasefire could last for six weeks, during which time 40 Israeli hostages would gradually be released. Female civilians and soldiers would be freed first. In return, around 400 Palestinian prisoners, some of them convicted of serious terrorist offences, would be released from Israeli jails. Israeli soldiers might move away from some of Gaza's most populated areas, and some of the 1.8 million Palestinians displaced by the fighting since October might be able to return to homes in the north. But with talks still going on in Qatar this week - where Egyptian and Qatari mediators are shuttling between Israeli and Hamas delegates - it is clear that most issues are still up in the air. Reports suggest that there is still wrangling over the number of Palestinian prisoners released for each Israeli hostage. Nor is there yet thought to be agreement on the redeployment of Israeli soldiers or the return of Palestinians to their homes. But Haim Tomer, a former Mossad chief of division, with experience of previous negotiations, told me he was optimistic. ""I think that we are pretty close,"" he said. ""I'm not saying that for sure we will see the release of hostages and Palestinian prisoners. But I think that the negotiation is getting forward."" He cited comments by the Qatar-based leader of Hamas, Ismail Haniyeh, who gave the first oblique hint on Wednesday that the group might be softening its position on a deal. ""Any flexibility we are showing in the negotiations,"" he said in a televised address, ""is to protect the blood of our people and to put an end to their huge pains and sacrifices in the brutal war of extermination against it."" Mr Haniyeh went on to say that Hamas was ready to keep fighting if necessary, and he urged Palestinians in the West Bank and Jerusalem to defy Israeli restrictions and march on Jerusalem's al-Aqsa mosque during the Muslim holy month of Ramadan. The reference to ""flexibility"" indicated that Hamas might be reconsidering demands - a complete end to the fighting and the total withdrawal of Israeli troops from the Gaza Strip - which Israeli Prime Minister Benjamin Netanyahu has called ""delusional."" But Hamas has yet to respond formally to the proposals drawn up in Paris. It is also not known what Hamas's leader in Gaza, Yahya Sinwar, thinks about the deal. He was last filmed in an underground tunnel, somewhere underneath Khan Yunis or Rafah. His guerrilla army is slowly being annihilated above him and the Israeli government has vowed to capture him. Israeli officials have suggested that Mr Sinwar's authority has been severely eroded by five-and-a-half months of crushing bombardment and the deaths of tens of thousands of his people. Such reports are hard to verify, but one thing is certain - it is harder and harder to communicate with the man who launched the attacks of 7 October. Meanwhile, the families and friends of the remaining hostages are on the road. They say they will reach Jerusalem on Saturday. Will good news be waiting for them when they get there?",2024-02-28T22:22:35.000Z
Header,Article,Date
Journalists call for foreign media access to Gaza in open letterPublished4 days agoShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"More than 50 journalists have sent an open letter calling on Israel and Egypt to provide ""free and unfettered access to Gaza for all foreign media"". The letter is signed by correspondents and presenters for broadcasters with UK bases, including the BBC's Jeremy Bowen, Lyse Doucet and Mishal Husain. It says the need for comprehensive on-the-ground reporting is ""imperative"". Israel's military says its troops have taken journalists on escorted trips in Gaza to allow them to report safely. Palestinian journalists and media workers have reported from inside Gaza since the start of the war between Israel and Hamas in October, but dozens have been killed, injured or gone missing. In the letter, the 55 journalists write that ""foreign reporters are still being denied access to the territory, outside of the rare and escorted trips with the Israeli military"". The escorted trips are highly controlled and often only to show tunnels that the military says are used by Hamas or weapons stores. Only one foreign journalist has been granted entry into Gaza through Egypt on an escorted visit. CNN's Clarissa Ward - who is among the signatories of the letter - was able to spend only a few hours on the ground in the southern border city of Rafah with an Emirati medical team in December. The letter calls on Israel's government to ""openly state its permission for international journalists to operate in Gaza"". It also asks Egyptian authorities to allow foreign press access to the Rafah crossing between Egypt and Gaza. The letter continues: ""It's vital that local journalists' safety is respected and that their efforts are bolstered by the journalism of members of the international media. The need for comprehensive on-the-ground reporting of the conflict is imperative. ""The risks of conflict reporting are well understood by our organisations who have decades of experience of reporting in warzones around the world and in previous wars in Gaza."" The broadcasters represented in the letter are the UK's BBC, ITV, Channel 4 and Sky News, and the US outlets ABC, CBS, CNN and NBC. A number of journalists who signed the letter have been reporting from Israel during the conflict. In November, the BBC's international editor Jeremy Bowen travelled with Israeli forces into Gaza. While the BBC had editorial control of the report, the section with the Israeli forces was viewed by them. When asked for comment on the letter, an Israel Defense Forces (IDF) spokesperson said: ""The IDF is currently conducting a war against the terror organisation Hamas. ""In order to allow journalists to report safely, the IDF accompanies them when in the battlefield."" Last month,the Foreign Press Association (FPA) in Jerusalem accused Israel of imposing an unprecedented ban on independent foreign press access to Gaza, after the Israeli High Court of Justice rejected a petition from the organisation and ruled that restrictions on entry were justified on security grounds. The FPA said defence authorities had told the court that journalists in Gaza could be put at risk in wartime and endanger soldiers by reporting on troop positions. They also argued that it was too dangerous for Israeli personnel to be present at the Israeli border to facilitate press entry to Gaza. The court's ruling also cited defence authorities as stating that the Rafah crossing was ""under the control and sovereignty"" of Egypt, and that ""to the best of [their] knowledge"" the Egyptian government was allowing foreign journalists to enter Gaza. However, in late October a senior Egyptian official said it was the Israeli military stopping journalists from entering. Almost 30,000 people have been killed in Gaza during the war between Israel and Hamas, the territory's Hamas-run health ministry says. Israel's military launched an air and ground campaign after Hamas's attacks on Israel on 7 October, in which around 1,200 people were killed and 253 others were taken hostage. According to the Committee to Protect Journalists (CPJ), at least 83 Palestinian and two Israeli journalists and media workers have been killed since the start of the war.",2024-02-28T20:06:38.000Z
Header,Article,Date
Joe Biden wins Michigan primary despite sizeable Gaza protest votePublished4 days agoShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"President Joe Biden has won Michigan's Democratic presidential primary comfortably, despite a significant protest vote over strong US support for Israel in the war in Gaza. Mr Biden won 81% of the vote, according to projections, but the ""uncommitted"" exceeded expectations with 13%. His campaign will pay close attention to see if that result in the key swing state will spread nationwide. Many voters have been angered by the US stance in the Israel-Hamas conflict. On Wednesday, activists from the group Listen to Michigan and its supporters hailed the size of the protest vote - more than 100,000 - as a victory. They pledged to continue to pressure the Biden administration to back a ceasefire in Gaza and limit foreign aid to Israel. ""What is clear is that our president has a choice before him,"" said Abdullah Hammoud, mayor of Dearborn, a Detroit suburb with a large Arab-American population. ""It is my hope, Mr President, that you listen to us, that you choose the people of America over Benjamin Netanyahu."" People were in tears at the organisation's watch party on Tuesday night as tallies were updated. The US is a close ally of Israel, providing it with billions of dollars in military aid. Earlier this month the US vetoed a UN resolution calling for an immediate ceasefire in Gaza, while proposing a draft of its own urging a temporary ceasefire. Many people, including in Mr Biden's own party, want the president to take a much stronger stance against Israel's military campaign. ""I think he should be cognisant of it as he moves forward with his Middle East policy,"" Larry Sabato, a political analyst at the University of Virginia, said of the ""uncommitted"" vote. ""Because the truth is, he's losing a lot of votes, not just Arab Americans and Muslim Americans, but young people."" The ""uncommitted"" result could bolster similar protest efforts underway in states like Minnesota, Pennsylvania, and Georgia. Mr Trump is also projected to easily win Tuesday's Republican primary in the state, after what he called a ""great day"". Results so far from the primary contests - which the US political parties use to select their presidential candidate - indicate that the two men are on course to face off in November's general election in a rematch of 2020. Michigan is considered a critical swing state, which picked the winning president in the last two contests. It has the largest proportion of Arab-Americans in the country, but Mr Biden's support for Israel appears to have cost him support among that demographic. The war in Gaza began after Hamas's attack in southern Israel on 7 October, in which about 1,200 people were killed and more than 250 taken hostage. Israel has launched a massive military operation in the Palestinian territory since then, with the stated aim of eliminating Hamas. However, almost 30,000 people have been killed and 70,325 injured in the retaliatory campaign - most of them civilians, the Hamas-run health ministry in the Gaza Strip says. The huge toll has led to international pressure on Israel and calls for a ceasefire. Tuesday does not mark the first time a significant portion of Michiganders opted to cast votes as ""uncommitted"". Around 19,000 residents did so in 2020's primary and more than 21,601 in 2016. In 2008 it was 238,000 - after Barack Obama's campaign encouraged them to do so, because he chose not to be on the ballot due to party squabbles. But campaigners in Michigan have been organising for months to send Mr Biden a message of ""no ceasefire, no vote"" over the war in Gaza. At Salina Intermediate School in Dearborn, the BBC spoke to Hala, 32, who said she voted ""uncommitted"". She did not ""want to vote for Genocide Joe"", she explained - alluding to allegations made against the Israeli military during its campaign in Gaza, which Israel strongly denies. Hala - who declined to share her last name - said she voted for Mr Biden last time, but was not sure she would do so again when the presidential election comes round. ""Maybe, if he calls for an immediate ceasefire, but he's not going to do that,"" she said. Some members of the state's Armenian community also pushed for a protest vote over what they see as a failure of the Biden administration to address the conflict between Azerbaijan and Armenians in the Nagorno-Karabakh region. Other Democrats told the BBC on polling day that they remained supportive of Mr Biden, including Kim Murdough, an office manager at a church in the city of Flint. ""I voted Democrat. I personally don't have an issue with anything that the administration has done,"" she said. She added that separate concerns about Mr Biden's age - 81 - were not a deal-breaker for her. ""I'd rather have someone in office that forgets a few things than a criminal,"" she said, referencing Mr Trump, who faces federal and state criminal charges. Margaret Won voted for Mr Biden, too. She is mostly happy with the work the president has done, though said he had been blocked in some of his aims by Republicans in Congress. She said she wished the frontrunner presidential candidates were younger and said if Nikki Haley beat Mr Trump to the Republican nomination, she might get her vote. Ms Haley, however, is yet to win any primary contest against Mr Trump -a trend that continued on Tuesday. Like dozens of other states, Michigan has open primary elections - which means Democrats, Republicans and independents were all able to cast votes, though they had to ask for a specific party's ballot when casting their ballot. The state's remaining Republican delegates - who must be secured for a candidate to win their party's nomination - will be formally awarded later at a convention this weekend. During the present conflict between Israel and Hamas, the ""uncommitted"" movement gained endorsements from at least 39 state and local elected officials in Michigan, including Congresswoman Rashida Tlaib. Ms Tlaib's sister was the campaign manager for Listen to Michigan campaign. Samraa Luqman, an activist with the Abandon Biden campaign, said her goal was to ""oust somebody from office for having this many lives lost without calling for a ceasefire"". Another woman, who did not want to be named, told the BBC she had even switched to the Republican party over the Middle Eastern conflict. Most foreign policy analysts agree that Mr Trump, who has boasted of being the most pro-Israel president in US history, would be even less likely to challenge Israel's Gaza policy if he returns to the White House next year. Senator Gary Peters, from Michigan, told reporters at a meeting arranged by the Biden campaign on Monday that the president understood voters' concerns about Gaza. However, the White House has been reluctant to row back its support, sending billions of dollars in military aid to Israel and three times blocking a UN Security Council resolution calling for an immediate ceasefire.",2024-02-28T19:33:57.000Z
Header,Article,Date
"Marches will continue, pro-Palestinian groups tell James CleverlyPublished4 days agoShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war","Pro-Palestinian groups have hit back at James Cleverly's call to end protest marches, after the home secretary said ""you've made your point"". In aninterview with the Times, Mr Cleverly questioned whether holding regular marches ""adds value"" to their call for an end to fighting in Gaza. Shamiul Joarder of Friends of Al-Aqsa (FOA) said: ""We will continue to march until there is an immediate ceasefire."" The FOA is part of a coalition of groups organising the marches. Representatives from all six groups - together with Labour MP and former shadow chancellor John McDonnell, and campaign group Liberty - held a press conference earlier in Parliament. They argued that anti-Muslim ""hysteria"" from some MPs and pressure from the government had provoked the Metropolitan Police into heavy-handed and ""discriminatory"" policing of ""peaceful mass protests"". Some Conservative MPs have called for the Met to take a tougher line on protests. The Metropolitan Police has been contacted for a response. Ben Jamal, director of the Palestine Solidarity Campaign, said: ""The demonising of protests for Palestinian rights [is] driven by pro-Israel actors in the political establishment in order to deflect attention away from Israel's decades-long repression of the rights of the Palestinian people."" He said his organisation would ""review"" the need for further marches if a ceasefire is agreed between Israel and Hamas. US President Joe Biden this week said he was hopeful a ceasefire deal could be in place by next week, with negotiations continuing. ""If we feel that there is a moment where a permanent ceasefire is called, then we will look at whether or not we need to continue marching,"" Mr Jamal told the meeting. He also defended protesters using the chant ""from the river to the sea, Palestine will be free"" on marches. Critics of the chant, including Israel and most Jewish groups, argue it implicitly calls for the destruction of Israel. This interpretation is disputed by some pro-Palestinian activists who say that most people chanting it are calling for an end to Israel's occupation of the West Bank and blockade of Gaza, not the destruction of Israel itself. Jewish Conservative MP Andrew Percy said the phrase, which was projected on to Parliament last week while a Gaza ceasefire debate was taking place in the Commons, was a ""genocidal call"". Mr Jamal said his organisation had not projected the slogan on to Parliament but he defended the right of protesters to use it, ""despite the rhetoric being used to demonise it"". He said it had ""been used by the majority of Palestinians for decades"" and ""it speaks to the nature of how the rights of the Palestinian people are deprived"". He added: ""It in no way calls for the abrogation of anybody else's rights."" Large demonstrations have been taking place across the UK since the 7 October attacks on Israel by Hamas and Israel began its military assault in response to destroy the group in Gaza. On Wednesday, Mr Cleverly announced a £31m ($39m) package to bolster protection for MPs, some of whom have spoken about being intimidated and harassed by pro-Palestinian backers. Mr Cleverly told the Times it was vital that MPs were not ""bullied"" into changing their stance on the Gaza conflict due to threats from demonstrators. ""I genuinely don't know what these regular protests are seeking to achieve,"" he added. ""They have made their position clear, we recognise that there are many people in the UK that hold that position."" The government says it is also considering increasing the amount of notice protest organisers have to give the police, following a recommendation by the Commons Home Affairs Committee. The Palestine Solidarity Campaign says it does not support protests outside MPs' homes, but has defended the right to stage peaceful protests outside MPs offices and council chambers. Mr Joarder said campaigners would continue to lobby MPs and protest outside Parliament until there was a permanent ceasefire. ""We are encouraging democracy, we are bringing people closer to democracy,"" he told the meeting in Parliament. March organisers are planning to raise their concerns with the Metropolitan Police Assistant Commissioner Matt Twist on Friday, ahead of further planned protests.",2024-02-28T17:00:59.000Z
Header,Article,Date
'Uncommitted' protest vote in Michigan primary is warning Biden cannot ignorePublished4 days agoShareclose panelShare pageCopy linkAbout sharingRelated TopicsIsrael-Gaza war,"Michigan voters have sent a clear warning to the White House that Joe Biden's support for Israel's war in Gaza could cost him dearly in the presidential election in November. Activists encouraged people voting in Tuesday's Democratic primary to withhold their votes from President Biden and instead mark the box marked ""uncommitted"" as a protest. More than 100,000 voters did just that. The protest vote - while a sharp rebuke - poses no immediate danger to Mr Biden, who still won the contest with 81% of the vote. He's the incumbent president and has no serious challenger from within his party, so he can't lose the race to choose the Democratic candidate. But what if all the people who withheld their support from him this time don't come out to vote for him in the general election? That could be decisive. Every vote counts in a key swing state that the US president almost certainly needs to win to have a shot at a second term. In 2016, for example, Hillary Clinton lost Michigan to Donald Trump by fewer than 11,000 ballots. Mr Trump, following his own victory in the Republican primary, declared: ""We win Michigan, we win the whole thing."" This Midwestern state is home to America's largest Arab-American population, most of whom are deeply upset by the devastation they see in Gaza. President Biden can't afford to ignore their demands that he call for a permanent ceasefire in Gaza - rather than the temporary one that the White House has been pushing for. He did not mention the war or the protest vote in his statement following his victory, but his campaign team will have surely heard the message loud and clear. I asked Leyla Elabed, manager of the ""Listen to Michigan"" campaign, if she was worried she might be inadvertently helping Donald Trump back into the White House by damaging Joe Biden's electability. ""If Biden doesn't act now, and listen to the 80% of Democrats and the 66% of Americans that want a permanent ceasefire right now,"" she told me before Tuesday's primary, ""it is going to be Biden, his administration and the Democratic Party that are going to be accountable for handing the White House to Trump in November."" President Biden has offered some recent criticism of Israel's conduct of the war, describing it as ""over the top"". He appears to be becoming increasingly frustrated with Israeli PM Benjamin Netanyahu and has warned that Israel is at risk of losing international support. His administration is strongly advocating for a temporary ceasefire over the Muslim holiday of Ramadan that would include an exchange of  Israeli hostages for Palestinian prisoners. But Mr Biden says it's not the right time to call for the permanent ceasefire his detractors in Michigan are demanding. Dissatisfaction on this issue goes beyond the Arab-American and Muslim communities, however. Many younger voters - another key part of the electoral coalition that voted for the oldest-ever US president - are also angry. Regular protests are taking place on college campuses across America. In Detroit, the views of students from the Wayne State College Democrats highlighted President Biden's vulnerability on the issue. Karon Heath, 18, an anthropology and law major, said she was enraged that the White House had not been advocating for a permanent ceasefire despite months of war and ""heartbreaking"" scenes in Gaza. Taylor James, 22, who is studying economics, believes the US - Israel's strongest international ally - should stop sending aid to Mr Netanyahu's government. But Cassidy Collins did vote for Mr Biden on Tuesday. She thinks he needs all the support he can get to stop Mr Trump from returning to the White House. She described that prospect as ""one of the most scariest things I could possibly imagine"". Each of these students said they wished Mr Biden had stood aside and allowed another candidate to get the Democratic nomination this year. They think that at 81, he is too old to understand the concerns of their generation, and that he hasn't been aggressive enough on climate change or on forgiving student loan debt. The complaints from these young people - each of them a signed-up Democrat - were different to the concerns I tend to hear from undecided voters who are considering backing Donald Trump. Those moderate voters - whom I've met in the wine bars of Atlanta, the sandwich shops of Philadelphia and the rural outposts of Iowa - often help decide who wins the White House. They've told me they felt much better off when Donald Trump was in office. And they're not convinced yet by the Biden administration's attempts to persuade Americans the economy is improving. Nearly every voter also cites the record levels of illegal immigration at the southern border. It's a vulnerability that explains why Mr Biden is about to tackle the immigration issue head on with a high-profile visit to the border on Thursday. Donald Trump will also be there on the same day to argue that Mr Biden's policies are to blame for the crisis. The White House hopes to undermine Mr Trump on his signature issue by highlighting that the former president recently got his supporters in Congress to defeat a bipartisan bill that would have provided billions of dollars to beef up border security. Mr Biden may soon introduce a presidential executive order aimed at reducing the number of asylum seekers entering the US. Yet it could be too late to convince voters he can be trusted on this issue. The president is simultaneously under attack from the right by voters who blame him for allowing unprecedented numbers of migrants to enter the US - and on the left by disappointed Democrats who are appalled by his strong support for Israel. The president needs to address both issues - and to find a way to appeal to the middle, while also motivating his base. It will not be an easy strategy to pull off. None of the dozens of Michiganders protesting over the war in Gaza that I spoke to this week said they were planning to vote for Mr Trump. But if the deeply felt anger towards Mr Biden in parts of Michigan leads thousands of voters to stay home in November, or to cast their ballot for a third party candidate, that could still cost Mr Biden the White House. If you're in the UK,sign up here. And if you're anywhere else,sign up here.",2024-02-28T16:37:28.000Z
Header,Article,Date
